Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) T,Coverage (%) Y,Coverage (%) Z,Coverage (%) I,Coverage (%) K,Area T,Area Y,Area Z,Area I,Area K,#Peptides,#Unique,#Spec T,#Spec Y,#Spec Z,#Spec I,#Spec K,PTM,Avg. Mass,Description
205,1252,ENSMUSP00000026196.7|ENSMUST00000026196.13|ENSMUSG00000025190.13|OTTMUSG00000023608.1|OTTMUST00000057631.1|Got1-201|Got1|413,135.87,4,4,0,0,0,0,8.8724E7,,,,,9,9,39,0,0,0,0,,46248,ENSMUSP00000026196.7|ENSMUST00000026196.13|ENSMUSG00000025190.13|OTTMUSG00000023608.1|OTTMUST00000057631.1|Got1-201|Got1|413
205,1699,ENSMUST00000132504.1|ENSMUSG00000025190.13|OTTMUSG00000023608.1|OTTMUST00000057634.1|Got1-203|Got1|661|retained_intron|,135.87,13,13,0,0,0,0,8.8724E7,,,,,9,9,39,0,0,0,0,,14258,ENSMUST00000132504.1|ENSMUSG00000025190.13|OTTMUSG00000023608.1|OTTMUST00000057634.1|Got1-203|Got1|661|retained_intron|
100,186,ENSMUSP00000145028.1|ENSMUST00000203954.2|ENSMUSG00000004980.16|OTTMUSG00000057601.2|OTTMUST00000141560.1|Hnrnpa2b1-207|Hnrnpa2b1|353,133.16,38,22,0,17,21,2,4.5861E6,,2.5837E6,9.7365E6,1.1467E6,26,26,22,0,17,30,3,Oxidation (M),37403,ENSMUSP00000145028.1|ENSMUST00000203954.2|ENSMUSG00000004980.16|OTTMUSG00000057601.2|OTTMUST00000141560.1|Hnrnpa2b1-207|Hnrnpa2b1|353
100,187,ENSMUSP00000087453.7|ENSMUST00000090002.9|ENSMUSG00000004980.16|OTTMUSG00000057601.2|-|Hnrnpa2b1-202|Hnrnpa2b1|341,133.16,39,23,0,17,21,2,4.5861E6,,2.5837E6,9.7365E6,1.1467E6,26,26,22,0,17,30,3,Oxidation (M),35979,ENSMUSP00000087453.7|ENSMUST00000090002.9|ENSMUSG00000004980.16|OTTMUSG00000057601.2|-|Hnrnpa2b1-202|Hnrnpa2b1|341
31,127,ENSMUSP00000026459.5|ENSMUST00000026459.5|ENSMUSG00000025393.12|OTTMUSG00000023688.8|OTTMUST00000057840.1|Atp5b-201|Atp5b|529,132.62,26,8,14,6,4,10,5.7253E6,3.8838E7,4.4369E6,1.8473E5,1.305E6,21,21,26,110,26,3,21,Oxidation (M),56301,ENSMUSP00000026459.5|ENSMUST00000026459.5|ENSMUSG00000025393.12|OTTMUSG00000023688.8|OTTMUST00000057840.1|Atp5b-201|Atp5b|529
74,64,ENSMUSP00000042457.8|ENSMUST00000042235.14|ENSMUSG00000037742.14|OTTMUSG00000019692.3|OTTMUST00000047139.1|Eef1a1-201|Eef1a1|462,126.71,28,12,13,0,9,8,2.182E6,,,2.5502E5,1.8915E5,21,4,18,36,0,26,11,Oxidation (M),50114,ENSMUSP00000042457.8|ENSMUST00000042235.14|ENSMUSG00000037742.14|OTTMUSG00000019692.3|OTTMUST00000047139.1|Eef1a1-201|Eef1a1|462
229,521,ENSMUSP00000075690.6|ENSMUST00000076352.7|ENSMUSG00000044734.16|OTTMUSG00000000694.4|OTTMUST00000162902.2|Serpinb1a-201|Serpinb1a|379,125.22,6,6,0,0,0,0,4.441E7,,,,,9,8,35,0,0,0,0,,42575,ENSMUSP00000075690.6|ENSMUST00000076352.7|ENSMUSG00000044734.16|OTTMUSG00000000694.4|OTTMUST00000162902.2|Serpinb1a-201|Serpinb1a|379
59,13,ENSMUSP00000099908.3|ENSMUST00000102844.3|ENSMUSG00000020460.15|OTTMUSG00000005330.1|OTTMUST00000011888.1|Rps27a-201|Rps27a|156,122.48,50,44,38,0,19,0,4.6902E5,1.3607E5,,,,17,2,45,50,0,17,0,,17951,ENSMUSP00000099908.3|ENSMUST00000102844.3|ENSMUSG00000020460.15|OTTMUSG00000005330.1|OTTMUST00000011888.1|Rps27a-201|Rps27a|156
59,14,ENSMUST00000078766.9|ENSMUSG00000058838.9|OTTMUSG00000044940.2|OTTMUST00000118113.2|Rps27a-ps2-201|Rps27a-ps2|467|processed_pseudogene|,122.48,50,44,38,0,19,0,4.6902E5,1.3607E5,,,,17,2,45,50,0,17,0,,17942,ENSMUST00000078766.9|ENSMUSG00000058838.9|OTTMUSG00000044940.2|OTTMUST00000118113.2|Rps27a-ps2-201|Rps27a-ps2|467|processed_pseudogene|
83,17,ENSMUSP00000104445.3|ENSMUST00000108817.4|ENSMUSG00000078851.4|OTTMUSG00000011797.1|OTTMUST00000027691.1|H2aw-201|H2aw|130,121.00,55,54,14,26,28,0,2.3867E6,,1.975E7,,,14,2,36,13,25,12,0,,14121,ENSMUSP00000104445.3|ENSMUST00000108817.4|ENSMUSG00000078851.4|OTTMUSG00000011797.1|OTTMUST00000027691.1|H2aw-201|H2aw|130
83,18,ENSMUSP00000088285.2|ENSMUST00000070124.4|ENSMUSG00000071516.2|OTTMUSG00000000444.1|OTTMUST00000001025.1|H2ac13-201|H2ac13|130,121.00,55,54,14,26,28,0,2.3867E6,,1.975E7,,,14,2,36,13,25,12,0,,14135,ENSMUSP00000088285.2|ENSMUST00000070124.4|ENSMUSG00000071516.2|OTTMUSG00000000444.1|OTTMUST00000001025.1|H2ac13-201|H2ac13|130
431,257,ENSMUSP00000095794.3|ENSMUST00000098192.3|ENSMUSG00000073940.3|OTTMUSG00000019042.3|OTTMUST00000045657.1|Hbb-bt-201|Hbb-bt|147,116.89,35,0,0,24,0,20,,,9.0269E6,,7.1858E5,8,8,0,0,13,0,3,Oxidation (M),15748,ENSMUSP00000095794.3|ENSMUST00000098192.3|ENSMUSG00000073940.3|OTTMUSG00000019042.3|OTTMUST00000045657.1|Hbb-bt-201|Hbb-bt|147
308,512,ENSMUSP00000107795.3|ENSMUST00000112172.3|ENSMUSG00000049775.16|OTTMUSG00000019572.3|OTTMUST00000046738.1|Tmsb4x-201|Tmsb4x|44,116.59,93,30,0,93,0,0,9.9254E5,,1.9595E7,,,9,9,2,0,22,0,0,Oxidation (M); Acetylation (Protein N-term),5053,ENSMUSP00000107795.3|ENSMUST00000112172.3|ENSMUSG00000049775.16|OTTMUSG00000019572.3|OTTMUST00000046738.1|Tmsb4x-201|Tmsb4x|44
308,513,ENSMUSP00000107798.1|ENSMUST00000112176.7|ENSMUSG00000049775.16|OTTMUSG00000019572.3|OTTMUST00000046739.2|Tmsb4x-203|Tmsb4x|50,116.59,82,26,0,82,0,0,9.9254E5,,1.9595E7,,,9,9,2,0,22,0,0,Oxidation (M); Acetylation (Protein N-term),5679,ENSMUSP00000107798.1|ENSMUST00000112176.7|ENSMUSG00000049775.16|OTTMUSG00000019572.3|OTTMUST00000046739.2|Tmsb4x-203|Tmsb4x|50
54,24,ENSMUSP00000122797.1|ENSMUST00000124967.1|ENSMUSG00000090137.8|OTTMUSG00000033543.2|OTTMUST00000084447.2|Uba52-202|Uba52|96,115.87,73,64,64,0,31,0,8.8769E7,4.9766E6,,,,17,2,49,58,0,17,0,,10914,ENSMUSP00000122797.1|ENSMUST00000124967.1|ENSMUSG00000090137.8|OTTMUSG00000033543.2|OTTMUST00000084447.2|Uba52-202|Uba52|96
54,25,ENSMUSP00000086852.4|ENSMUST00000089430.5|ENSMUSG00000068240.5|OTTMUSG00000004411.1|OTTMUST00000009996.1|Gm11808-201|Gm11808|128,115.87,55,48,48,0,23,0,8.8769E7,4.9766E6,,,,17,2,49,58,0,17,0,,14728,ENSMUSP00000086852.4|ENSMUST00000089430.5|ENSMUSG00000068240.5|OTTMUSG00000004411.1|OTTMUST00000009996.1|Gm11808-201|Gm11808|128
54,26,ENSMUSP00000123438.1|ENSMUST00000138260.7|ENSMUSG00000055553.16|OTTMUSG00000031162.11|OTTMUST00000077204.3|Kxd1-207|Kxd1|193,115.87,36,32,32,0,16,0,8.8769E7,4.9766E6,,,,17,2,49,58,0,17,0,,22234,ENSMUSP00000123438.1|ENSMUST00000138260.7|ENSMUSG00000055553.16|OTTMUSG00000031162.11|OTTMUST00000077204.3|Kxd1-207|Kxd1|193
54,27,ENSMUSP00000113804.1|ENSMUST00000121623.7|ENSMUSG00000055553.16|OTTMUSG00000031162.11|OTTMUST00000077222.1|Kxd1-204|Kxd1|232,115.87,30,26,26,0,13,0,8.8769E7,4.9766E6,,,,17,2,49,58,0,17,0,,26856,ENSMUSP00000113804.1|ENSMUST00000121623.7|ENSMUSG00000055553.16|OTTMUSG00000031162.11|OTTMUST00000077222.1|Kxd1-204|Kxd1|232
68,62,ENSMUSP00000034453.4|ENSMUST00000034453.5|ENSMUSG00000031972.5|OTTMUSG00000062000.1|OTTMUST00000151381.1|Acta1-201|Acta1|377,114.58,29,22,16,9,12,8,7.7802E4,1.616E6,,,0,13,2,18,51,5,25,1,Oxidation (M); Deamidation (NQ),42051,ENSMUSP00000034453.4|ENSMUST00000034453.5|ENSMUSG00000031972.5|OTTMUSG00000062000.1|OTTMUST00000151381.1|Acta1-201|Acta1|377
68,63,ENSMUSP00000048218.8|ENSMUST00000039631.9|ENSMUSG00000035783.9|OTTMUSG00000074035.1|OTTMUST00000179625.1|Acta2-201|Acta2|377,114.58,29,22,16,9,12,8,7.7802E4,1.616E6,,,0,13,2,18,51,5,25,1,Oxidation (M); Deamidation (NQ),42009,ENSMUSP00000048218.8|ENSMUST00000039631.9|ENSMUSG00000035783.9|OTTMUSG00000074035.1|OTTMUST00000179625.1|Acta2-201|Acta2|377
182,103,ENSMUSP00000054556.7|ENSMUST00000055990.7|ENSMUSG00000016349.10|OTTMUSG00000016559.6|OTTMUST00000040035.4|Eef1a2-201|Eef1a2|463,114.35,19,8,11,0,3,5,2.2465E6,1.9046E6,,,,15,3,11,26,0,1,6,Deamidation (NQ),50454,ENSMUSP00000054556.7|ENSMUST00000055990.7|ENSMUSG00000016349.10|OTTMUSG00000016559.6|OTTMUST00000040035.4|Eef1a2-201|Eef1a2|463
183,131,ENSMUSP00000113942.2|ENSMUST00000117757.8|ENSMUSG00000057666.18|OTTMUSG00000027118.9|OTTMUST00000067086.3|Gapdh-202|Gapdh|359,112.86,26,10,6,0,0,17,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),38653,ENSMUSP00000113942.2|ENSMUST00000117757.8|ENSMUSG00000057666.18|OTTMUSG00000027118.9|OTTMUST00000067086.3|Gapdh-202|Gapdh|359
183,132,TCONS_00121101.p1,112.86,25,9,5,0,0,17,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),39885,TCONS_00121101.p1   chr6:125162032-125166453(-)
183,133,ENSMUST00000145057.1|ENSMUSG00000070025.8|OTTMUSG00000031563.1|OTTMUST00000078176.1|Gm10284-201|Gm10284|1005|processed_pseudogene|,112.86,28,11,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35817,ENSMUST00000145057.1|ENSMUSG00000070025.8|OTTMUSG00000031563.1|OTTMUST00000078176.1|Gm10284-201|Gm10284|1005|processed_pseudogene|
183,134,ENSMUSP00000113213.1|ENSMUST00000118875.7|ENSMUSG00000057666.18|OTTMUSG00000027118.9|OTTMUST00000067084.3|Gapdh-203|Gapdh|333,112.86,28,11,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35810,ENSMUSP00000113213.1|ENSMUST00000118875.7|ENSMUSG00000057666.18|OTTMUSG00000027118.9|OTTMUST00000067084.3|Gapdh-203|Gapdh|333
183,135,ENSMUSP00000138396.1|ENSMUST00000181173.1|ENSMUSG00000097148.2|OTTMUSG00000042570.2|OTTMUST00000112217.2|Gm3839-201|Gm3839|333,112.86,28,11,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35812,ENSMUSP00000138396.1|ENSMUST00000181173.1|ENSMUSG00000097148.2|OTTMUSG00000042570.2|OTTMUST00000112217.2|Gm3839-201|Gm3839|333
183,136,ENSMUST00000121658.1|ENSMUSG00000083773.4|OTTMUSG00000011820.1|OTTMUST00000027753.1|Gm13394-201|Gm13394|1000|processed_pseudogene|,112.86,28,10,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35929,ENSMUST00000121658.1|ENSMUSG00000083773.4|OTTMUSG00000011820.1|OTTMUST00000027753.1|Gm13394-201|Gm13394|1000|processed_pseudogene|
183,137,ENSMUST00000121831.1|ENSMUSG00000081221.4|OTTMUSG00000017911.1|OTTMUST00000043297.1|Gm14760-201|Gm14760|999|processed_pseudogene|,112.86,28,10,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35881,ENSMUST00000121831.1|ENSMUSG00000081221.4|OTTMUSG00000017911.1|OTTMUST00000043297.1|Gm14760-201|Gm14760|999|processed_pseudogene|
183,139,ENSMUST00000180755.1|ENSMUSG00000096617.3|OTTMUSG00000042562.1|OTTMUST00000112208.1|Gm5559-201|Gm5559|1002|processed_pseudogene|,112.86,28,11,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35776,ENSMUST00000180755.1|ENSMUSG00000096617.3|OTTMUSG00000042562.1|OTTMUST00000112208.1|Gm5559-201|Gm5559|1002|processed_pseudogene|
183,140,ENSMUST00000119551.1|ENSMUSG00000069939.8|OTTMUSG00000005300.1|OTTMUST00000011824.1|Gm12070-201|Gm12070|1002|processed_pseudogene|,112.86,28,11,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35840,ENSMUST00000119551.1|ENSMUSG00000069939.8|OTTMUSG00000005300.1|OTTMUST00000011824.1|Gm12070-201|Gm12070|1002|processed_pseudogene|
183,142,ENSMUST00000100754.4|ENSMUSG00000078300.3|OTTMUSG00000042571.1|OTTMUST00000112218.1|Gm2606-201|Gm2606|1002|processed_pseudogene|,112.86,28,11,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35757,ENSMUST00000100754.4|ENSMUSG00000078300.3|OTTMUSG00000042571.1|OTTMUST00000112218.1|Gm2606-201|Gm2606|1002|processed_pseudogene|
183,143,ENSMUST00000199447.1|ENSMUSG00000106574.1|OTTMUSG00000052989.1|OTTMUST00000132572.1|Gm2451-201|Gm2451|999|processed_pseudogene|,112.86,28,10,6,0,0,19,1.5656E6,1.0549E6,,,3.3987E5,11,6,26,3,0,0,14,Oxidation (M),35832,ENSMUST00000199447.1|ENSMUSG00000106574.1|OTTMUSG00000052989.1|OTTMUST00000132572.1|Gm2451-201|Gm2451|999|processed_pseudogene|
89,83,ENSMUSP00000051432.2|ENSMUST00000052686.3|ENSMUSG00000049932.3|OTTMUSG00000042356.1|OTTMUST00000111622.1|H2ax-201|H2ax|143,112.41,47,41,13,25,26,0,,,0,,,13,1,32,13,25,12,0,,15143,ENSMUSP00000051432.2|ENSMUST00000052686.3|ENSMUSG00000049932.3|OTTMUSG00000042356.1|OTTMUST00000111622.1|H2ax-201|H2ax|143
401,23,ENSMUSP00000069004.7|ENSMUST00000068408.13|ENSMUSG00000063457.14|OTTMUSG00000000015.1|OTTMUST00000045767.1|Rps15-202|Rps15|145,111.14,45,45,6,0,0,0,6.9851E6,4.7464E4,,,,8,8,15,2,0,0,0,Acetylation (Protein N-term),17040,ENSMUSP00000069004.7|ENSMUST00000068408.13|ENSMUSG00000063457.14|OTTMUSG00000000015.1|OTTMUST00000045767.1|Rps15-202|Rps15|145
223,1389,ENSMUSP00000038352.8|ENSMUST00000037023.8|ENSMUSG00000034892.8|OTTMUSG00000023728.1|OTTMUST00000057950.1|Rps29-201|Rps29|56,110.17,48,48,0,0,0,0,5.8636E7,,,,,9,9,36,0,0,0,0,,6677,ENSMUSP00000038352.8|ENSMUST00000037023.8|ENSMUSG00000034892.8|OTTMUSG00000023728.1|OTTMUST00000057950.1|Rps29-201|Rps29|56
291,74,ENSMUSP00000013773.5|ENSMUST00000013773.11|ENSMUSG00000013629.16|OTTMUSG00000022393.7|OTTMUST00000053506.2|Cad-201|Cad|2225,109.78,2,2,0,0,0,0,1.4855E7,1.0343E7,,,,9,9,16,9,0,0,0,,243236,ENSMUSP00000013773.5|ENSMUST00000013773.11|ENSMUSG00000013629.16|OTTMUSG00000022393.7|OTTMUST00000053506.2|Cad-201|Cad|2225
138,89,ENSMUSP00000022163.8|ENSMUST00000022163.14|ENSMUSG00000021660.14|OTTMUSG00000033602.1|OTTMUST00000084650.1|Btf3-201|Btf3|204,108.58,10,10,4,4,4,4,1.9812E7,1.2452E6,9.524E4,4.0399E6,2.4839E6,6,6,20,6,1,13,17,,22031,ENSMUSP00000022163.8|ENSMUST00000022163.14|ENSMUSG00000021660.14|OTTMUSG00000033602.1|OTTMUST00000084650.1|Btf3-201|Btf3|204
138,111,ENSMUSP00000118093.1|ENSMUST00000152704.7|ENSMUSG00000021660.14|OTTMUSG00000033602.1|OTTMUST00000084651.1|Btf3-205|Btf3|162,108.58,13,13,6,6,6,6,1.9812E7,1.2452E6,9.524E4,4.0399E6,2.4839E6,6,6,20,6,1,13,17,,17699,ENSMUSP00000118093.1|ENSMUST00000152704.7|ENSMUSG00000021660.14|OTTMUSG00000033602.1|OTTMUST00000084651.1|Btf3-205|Btf3|162
138,124,ENSMUST00000133826.1|ENSMUSG00000021660.14|OTTMUSG00000033602.1|OTTMUST00000084653.1|Btf3-203|Btf3|569|retained_intron|,108.58,16,16,7,7,7,7,1.9812E7,1.2452E6,9.524E4,4.0399E6,2.4839E6,6,6,20,6,1,13,17,,14603,ENSMUST00000133826.1|ENSMUSG00000021660.14|OTTMUSG00000033602.1|OTTMUST00000084653.1|Btf3-203|Btf3|569|retained_intron|
283,392,ENSMUSP00000057308.2|ENSMUST00000062045.3|ENSMUSG00000051627.3|OTTMUSG00000000564.2|OTTMUST00000001151.2|H1f4-201|H1f4|219,107.44,26,5,11,17,13,0,,3.5094E6,3.3919E7,2.4984E6,,9,7,1,5,14,7,0,Acetylation (Protein N-term),21977,ENSMUSP00000057308.2|ENSMUST00000062045.3|ENSMUSG00000051627.3|OTTMUSG00000000564.2|OTTMUST00000001151.2|H1f4-201|H1f4|219
199,198,ENSMUSP00000110886.3|ENSMUST00000115231.3|ENSMUSG00000079641.3|OTTMUSG00000017100.4|OTTMUST00000041420.2|Rpl39-201|Rpl39|51,106.78,75,75,0,0,0,0,8.1327E7,,,,,12,12,42,0,0,0,0,Oxidation (M),6407,ENSMUSP00000110886.3|ENSMUST00000115231.3|ENSMUSG00000079641.3|OTTMUSG00000017100.4|OTTMUST00000041420.2|Rpl39-201|Rpl39|51
4,51,ENSMUSP00000106085.2|ENSMUST00000110455.3|ENSMUSG00000062727.4|OTTMUSG00000000475.1|OTTMUST00000001059.1|H2bc12-201|H2bc12|126,106.71,48,29,42,18,28,6,6.0067E8,1.4739E8,2.7703E6,1.928E8,2.0019E8,9,4,57,54,16,153,167,Oxidation (M),13920,ENSMUSP00000106085.2|ENSMUST00000110455.3|ENSMUSG00000062727.4|OTTMUSG00000000475.1|OTTMUST00000001059.1|H2bc12-201|H2bc12|126
4,52,ENSMUSP00000089350.1|ENSMUST00000091756.1|ENSMUSG00000094338.1|OTTMUSG00000000443.1|OTTMUST00000001024.1|H2bc13-201|H2bc13|126,106.71,48,29,42,18,28,6,6.0067E8,1.4739E8,2.7703E6,1.928E8,2.0019E8,9,4,57,54,16,153,167,Oxidation (M),13936,ENSMUSP00000089350.1|ENSMUST00000091756.1|ENSMUSG00000094338.1|OTTMUSG00000000443.1|OTTMUST00000001024.1|H2bc13-201|H2bc13|126
4,53,ENSMUSP00000078239.5|ENSMUST00000079251.7|ENSMUSG00000058385.8|OTTMUSG00000000556.2|OTTMUST00000001143.2|H2bc8-201|H2bc8|126,106.71,48,29,42,18,28,6,6.0067E8,1.4739E8,2.7703E6,1.928E8,2.0019E8,9,4,57,54,16,153,167,Oxidation (M),13906,ENSMUSP00000078239.5|ENSMUST00000079251.7|ENSMUSG00000058385.8|OTTMUSG00000000556.2|OTTMUST00000001143.2|H2bc8-201|H2bc8|126
4,54,ENSMUSP00000089343.2|ENSMUST00000091749.3|ENSMUSG00000069307.6|OTTMUSG00000013203.2|OTTMUST00000165556.1|Hist1h2bq-202|Hist1h2bq|134,106.71,46,27,40,17,26,6,6.0067E8,1.4739E8,2.7703E6,1.928E8,2.0019E8,9,4,57,54,16,153,167,Oxidation (M),14888,ENSMUSP00000089343.2|ENSMUST00000091749.3|ENSMUSG00000069307.6|OTTMUSG00000013203.2|OTTMUST00000165556.1|Hist1h2bq-202|Hist1h2bq|134
4,55,ENSMUSP00000153277.1|ENSMUST00000224359.1|ENSMUSG00000114456.1|OTTMUSG00000000571.2|OTTMUST00000001158.2|H2bc9-201|H2bc9|126,106.71,48,29,42,18,28,6,6.0067E8,1.4739E8,2.7703E6,1.928E8,2.0019E8,9,4,57,54,16,153,167,Oxidation (M),13920,ENSMUSP00000153277.1|ENSMUST00000224359.1|ENSMUSG00000114456.1|OTTMUSG00000000571.2|OTTMUST00000001158.2|H2bc9-201|H2bc9|126
231,205,ENSMUSP00000044395.6|ENSMUST00000045301.8|ENSMUSG00000052565.7|OTTMUSG00000000553.2|OTTMUST00000001140.2|H1f3-201|H1f3|221,105.59,26,5,17,12,19,0,,5.4264E6,6.5441E5,5.0591E5,,8,5,1,15,8,10,0,Acetylation (Protein N-term),22100,ENSMUSP00000044395.6|ENSMUST00000045301.8|ENSMUSG00000052565.7|OTTMUSG00000000553.2|OTTMUST00000001140.2|H1f3-201|H1f3|221
135,160,ENSMUSP00000148107.1|ENSMUST00000209984.1|ENSMUSG00000063229.15|OTTMUSG00000016500.5|-|Ldha-210|Ldha|361,104.11,9,9,2,2,2,2,1.2619E7,2.2395E7,2.2793E5,1.6313E7,0,5,5,19,14,1,15,8,,39758,ENSMUSP00000148107.1|ENSMUST00000209984.1|ENSMUSG00000063229.15|OTTMUSG00000016500.5|-|Ldha-210|Ldha|361
135,161,ENSMUSP00000036386.9|ENSMUST00000048209.15|ENSMUSG00000063229.15|OTTMUSG00000016500.5|OTTMUST00000039849.3|Ldha-202|Ldha|332,104.11,10,10,2,2,2,2,1.2619E7,2.2395E7,2.2793E5,1.6313E7,0,5,5,19,14,1,15,8,,36499,ENSMUSP00000036386.9|ENSMUST00000048209.15|ENSMUSG00000063229.15|OTTMUSG00000016500.5|OTTMUST00000039849.3|Ldha-202|Ldha|332
